dfs_code	char	big5	old_class	new_class	old_extension_needed	new_extension_needed	reason
$05CB	蠶	C5FA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蚕
$05F5	鏟	C3EA	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 剷
$05FC	嚐	C07C	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 嘗
$0605	廠	BC74	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 厂
$0636	喫	B3F0	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 吃
$0637	癡	C3A8	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 痴
$0648	衝	BDC4	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 沖
$0649	蟲	C2CE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 虫
$066B	醜	C1E0	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 丑
$066E	齣	C4D5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 出
$067B	觸	C4B2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 触
$068E	鎚	C2F1	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 錘
$0693	脣	B2E5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 唇
$06CA	獃	E2CA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 呆
$06E5	噹	BEB4	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 當
$06E7	黨	C4D2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 党
$06E8	盪	C0FA	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 蕩
$06EB	擣	ECEA	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 搗
$0729	澱	BEFD	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 淀
$072D	彫	B16E	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 雕
$072D	琱	DAA4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 雕
$072D	鵰	F3E7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 雕
$0731	弔	A4DD	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 吊
$0747	鼕	C35D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 冬
$0767	鬥	B0AB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 斗
$0786	噸	BEB7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 吨
$07A1	噁	E4FA	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 惡
$07A9	兒	A8E0	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 儿
$07B0	髮	BE76	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 發
$07C4	範	BD64	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 范
$07C8	氾	A5C6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 泛
$07C8	汎	A6C6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 泛
$07EF	豐	C2D7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 丰
$0802	彿	A9BB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 佛
$0828	復	B45F	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 复
$0828	複	BDC6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 复
$083D	幹	B746	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 干
$083D	榦	BA6D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 干
$0840	桿	B1EC	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 杆
$0844	趕	BBB0	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 赶
$0866	槓	BA62	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 杠
$0880	箇	BAE7	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 個
$08A1	構	BA63	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 构
$08B0	穀	BD5C	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 谷
$08B5	僱	B9B5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 雇
$08B6	颳	BE68	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 刮
$08BA	掛	B1BE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 挂
$08BD	枴	AC62	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 拐
$08BD	柺	CF5E	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 拐
$08D9	櫃	C264	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 柜
$0918	覈	F2F2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 核
$091C	閤	BBD7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 合
$0933	鬨	C069	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 哄
$0949	鬍	C447	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 胡
$0949	衚	E7C1	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 胡
$0961	餬	EF4D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 糊
$096B	譁	C3CF	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 嘩
$0970	劃	B9BA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 划
$0975	懷	C368	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 怀
$0977	壞	C361	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 坏
$099A	迴	B06A	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 回
$099B	燬	C0EC	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 毀
$099B	譭	F4D5	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 毀
$09A5	彙	B74A	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 匯
$09B3	穫	C3AC	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 獲
$09BC	機	BEF7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 机
$09C2	饑	C4C8	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 飢
$09C3	蹟	C2DD	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 跡
$09CB	極	B7A5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 极
$09D8	幾	B458	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 几
$09F2	傢	B3C3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 家
$09FB	價	BBF9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 价
$0A0D	姦	ABC1	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 奸
$0A0F	繭	C3B5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 茧
$0A1D	薦	C2CB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 荐
$0A1F	鑒	C5B3	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 鑑
$0A2F	殭	ED4C	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 僵
$0A30	薑	C1A4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 姜
$0A78	傑	B3C7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 杰
$0A7C	潔	BCE4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 洁
$0A9B	儘	BEA8	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 盡
$0AA4	驚	C5E5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 惊
$0AB5	凈	D0E4	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 淨
$0AD0	侷	AB5D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 局
$0AD7	據	BEDA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 据
$0AD8	鉅	B964	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 巨
$0AE7	捲	B1B2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 卷
$0B2B	剋	AB67	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 克
$0B3B	釦	B3A7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 扣
$0B45	誇	B8D8	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 夸
$0B79	崑	B158	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 昆
$0B7A	綑	B869	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 捆
$0B7B	睏	B574	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 困
$0B83	蠟	C4FA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蜡
$0B84	臘	C3BE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 腊
$0BAF	纍	F5EC	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 累
$0BB6	稜	B857	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 棱
$0BB9	釐	C2E7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 厘
$0BBD	籬	C658	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 篱
$0BBF	離	C2F7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 离
$0BC0	灕	F6E8	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 漓
$0BC3	裡	B8CC	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 里
$0BC9	慄	B758	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 栗
$0BCE	歷	BEFA	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 曆
$0BCE	厤	D864	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 曆
$0BDF	鎌	F154	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 鐮
$0BE1	憐	BCA6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 怜
$0BE3	簾	C3AE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 帘
$0BE8	鍊	C1E5	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 煉
$0BEC	樑	BCD9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 梁
$0C21	淩	D5E6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 凌
$0C25	嶺	C0AD	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 岭
$0C4A	滷	BAB1	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 鹵
$0C6A	彔	CC74	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 錄
$0C86	崙	B15B	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 侖
$0CC0	麼	BBF2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 么
$0CC5	黴	C5F0	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 霉
$0CD5	濛	C0DB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蒙
$0CD5	矇	C3A9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蒙
$0CD5	懞	ECE7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蒙
$0CE2	瀰	C46A	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 彌
$0CE4	祕	AFA6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 秘
$0CF2	麵	C4D1	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 面
$0CFB	衊	F647	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蔑
$0D76	唸	B0E1	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 念
$0D77	孃	C45D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 娘
$0D7E	嚙	EFBF	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 齧
$0D86	寧	B9E7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 宁
$0D88	濘	C0D7	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 泞
$0E03	蘋	C4AB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 苹
$0E13	撲	BCB3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 扑
$0E18	僕	B9B2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 仆
$0E1E	樸	BEEB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 朴
$0E28	棲	B4CF	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 栖
$0E29	慼	BCA1	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 戚
$0E2C	悽	B17E	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 凄
$0E2C	淒	B259	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 凄
$0E38	旂	D1D2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 旗
$0E45	氣	AEF0	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 气
$0E67	韆	C648	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 千
$0E69	籤	C5D2	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 簽
$0EAF	鞦	C2FE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 秋
$0ED5	確	BD54	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 确
$0EE3	擾	C25A	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 扰
$0F1C	灑	C578	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 洒
$0F3D	曬	C5CE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 晒
$0F7B	捨	B1CB	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 舍
$0F8C	瀋	C26E	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 沈
$0F97	昇	AA40	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 升
$0F97	陞	B0A5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 升
$0F9C	勝	B3D3	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 胜
$0F9D	聖	B874	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 圣
$0FA2	濕	C0E3	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 溼
$0FA4	屍	ABCD	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 尸
$0FA5	蝨	BDBE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 虱
$0FC2	適	BE41	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 适
$0FED	術	B34E	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 朮
$101A	俬	CDEF	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 私
$1027	鬆	C350	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 松
$102F	蒐	BB60	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 搜
$1033	蘇	C4AC	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 甦
$1033	囌	C5C8	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 甦
$103B	泝	CD41	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 溯
$1040	痠	B56D	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 酸
$1066	簑	BF75	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 蓑
$107A	臺	BB4F	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 台
$107A	颱	BBE4	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 台
$107A	檯	C269	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 台
$1085	罈	C2BB	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 壇
$1090	歎	BCDB	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 嘆
$10B7	體	C5E9	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 体
$10CF	聽	C5A5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 听
$10DC	衕	DBC2	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 同
$10EF	塗	B6EE	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 涂
$10F5	糰	C47B	base-t2s-ime-glyph-patch	extension-needed-strict-shared-t2s	no	yes	shared t2s glyph code; canonical kept as 團
$1104	託	B055	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 托
$1111	窪	BADA	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 洼
$111D	翫	E6F6	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 玩
$1124	輓	BBB5	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 挽
$112A	萬	B855	base-t2s-ime-glyph-patch	extension-needed-strict-exact-conflict	no	yes	exact Big5 char(s) already use this glyph: 万
