data/text/text_3.asm						翻译区		Gen1RB:CHS INST	Gen1RB:CHS (Auto Match)	Gen1RB:ENG (Auto Match)	LGPE:ENG (Auto Match)	LGPE:CHS (Auto Match)	LGPE:JPN (Auto Match)	Gen1:JPN (Auto Match)
	text	Darn! The GHOST			text	不行！無法識破		text	不行！无法识破	Darn! The GHOST	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	can't be ID'd!			line	幽靈的真面目！		line	幽灵的真面目！	can't be ID'd!	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	prompt				prompt			prompt						…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_GoText::				_GoText::										
	text	Go! @			text	上吧！@		text	<PLAYER>从谜之训练家	<PLAYER> received	Don’t go disturbing things in the Pokémon Tower!	在宝可梦塔里	ポケモンタワー　では	ほっほう!
	text_end				text_end			line	那里得到了@	a @		不可以喧哗哦！	さわいじゃ　ダメなんだって！	では…　わしが
								text_ram	wStringBuffer	wStringBuffer				おてほんを　みせて　やるかな!
_DoItText::				_DoItText::				text	！@	!@				
	text	Do it! @			text	看你的了！		text	即将丢弃	Is it OK to toss	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text_end				line	@		line	@	@	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
					text_end			text_ram	wStringBuffer	wStringBuffer				
_GetmText::								text	，可以吗？	?				
	text	Get'm! @		_GetmText::				text	对手变弱了！机会来了，	The enemy's weak!	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text_end				text	加油！@		line	@	Get'm! @	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
					text_end			text_end						
_EnemysWeakText::				_EnemysWeakText::										
	text	The enemy's weak!			text	對手變弱了！機會來了，		text	对手变弱了！机会来了，	The enemy's weak!	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	Get'm! @			line	@		line	@	Get'm! @	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	text_end				text_end			text_end						…　シルフ　カンパニー
												……西尔佛公司	……シルフカンパニー	
_PlayerMon1Text::				_PlayerMon1Text::										
	text_ram	wBattleMonNick			text_ram	wBattleMonNick		text_ram	wcd6d	wcd6d	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text	!			text	！		text	已经学会了	 knows	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done				done			line	@	@				
								text_ram	wStringBuffer	wStringBuffer				
_PlayerMon2Text::				_PlayerMon2Text::				text	！	!				
	text_ram	wBattleMonNick			text_ram	wBattleMonNick		text	<PLAYER>用@	<PLAYER> traded	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text	 @			text	，@		text_ram	wInGameTradeGiveMonName	@	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	text_end				text_end			text_start		wInGameTradeGiveMonName 				
								line	交换了@	 for				
_EnoughText::				_EnoughText::				text_ram	wInGameTradeReceiveMonName	@				
	text	enough!@			text	好了！@		text_start			Trainers’ School:	这里是训练家学校。	ここは　トレーナーズスクール	ここは　ポケモン　りーグ
	text_end				text_end			done			Get Schooled in School!	好好学习，天天向上！	まなびや　で　まなべや！	しょうめん　ゲート
														4ャよひ
_OKExclamationText::				_OKExclamationText::										つ {PLAYER}  {PLAYER} 
	text	OK!@			text	很好！@		text_start			Trainers’ School:	这里是训练家学校。	ここは　トレーナーズスクール	ここは　ポケモン　りーグ
	text_end				text_end			done			Get Schooled in School!	好好学习，天天向上！	まなびや　で　まなべや！	しょうめん　ゲート
														4ャよひ
_GoodText::				_GoodText::										つ {PLAYER}  {PLAYER} 
	text	good!@			text	漂亮！@		text_start			Trainers’ School:	这里是训练家学校。	ここは　トレーナーズスクール	ここは　ポケモン　りーグ
	text_end				text_end			done			Get Schooled in School!	好好学习，天天向上！	まなびや　で　まなべや！	しょうめん　ゲート
														4ャよひ
_ComeBackText::				_ComeBackText::										つ {PLAYER}  {PLAYER} 
	text_start				text_start			text	<PLAYER>用@	<PLAYER> traded	The machine is undergoing maintenance.	现在机器正在维修中。	ただいま　マシンの	はいはい　こどもは　
	line	Come back!			line	回來！		text_ram	wInGameTradeGiveMonName	@		非常抱歉，请稍后再来。	メンテナンスちゅう　です	けんがくりょう　50えん　です
	done				done			text_start		wInGameTradeGiveMonName 	Please come back later.			けんがく　しますか?
								line	交换了@	 for			すみませんが　また	
	; money related				; money related			text_ram	wInGameTradeReceiveMonName	@			のちほど　おこしください	
_PickUpPayDayMoneyText::				_PickUpPayDayMoneyText::				text	！@	wInGameTradeReceiveMonName 				
	text	<PLAYER> picked up			text	<PLAYER>撿到了		text	<PLAYER>捡到了	<PLAYER> picked up	“1F: Service Counter	１楼……　服务柜台	１かい……　サービス・カウンター	おくじょう　…　いこいの　ひろば
	line	¥@			line	¥@		line	¥@	¥@		２楼……　训练家广场	２かい……　トレーナーズ・マーケット	　　　　　　…　じどう　はんばいき
	text_bcd	wTotalPayDayMoney, 3 | LEADING_ZEROES | LEFT_ALIGN 			text_bcd	wTotalPayDayMoney, 3 | LEADING_ZEROES | LEFT_ALIGN		text_bcd	wTotalPayDayMoney, 3 | LEADING_ZEROES | LEFT_ALIGN	wTotalPayDayMoney, 3 | LEADING_ZEROES | LEFT_ALIGN 	“2F: Trainers’ Market			プ
	text	!			text	！		text	！	!		３楼……　电子游戏专卖店	３かい……　テレビ　ゲーム　ショップ	
	prompt				prompt			prompt			“3F: Video Game Shop	４楼……　聪明人礼品店	４かい……　ワイズマン・ギフト	
														
_ClearSaveDataText::				_ClearSaveDataText::							“4F: Wiseman Gifts	５楼……　饰品天地	５かい……　アクセサリー　マーケット	
	text	Clear all saved			text	要清除所有		text	要清除全部的	Clear all saved	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	data?			line	儲存資料嗎？		line	保存数据区域吗？	data?	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done				done			done						
											“Roof: Relaxation Space & Vending Machines”			
_WhichFloorText::				_WhichFloorText::										
	text	Which floor do			text	要去幾樓？		text	要去几楼？	Which floor do	Which topic do you want to read?	要查看哪一个项目呢？	どの　こうもくを　みますか？	どの　ポケモンを
	line	you want?			done			done		you want?				にがすんや?
	done													
														
_SleepingPikachuText1::				_SleepingPikachuText1::										
	text	There isn't any			text	咦？不在……			あれ?　いない⋯		Whaaat?	真奇怪啊。	おかしいな？	おかしいな?
	line	response...							宝可梦中心里用胖丁催眠皮卡丘之后		There shouldn’t be any children here!	小孩子应该进不来的啊。	こどもが　はいって　これる	こどもが　はいって　これる
	prompt				prompt				在皮卡丘不跟随的情况下查看皮卡丘能力的提示					わけが　ないんだが
													わけが　ないんだが	
_PartyMenuNormalText::				_PartyMenuNormalText::										
	text	Choose a #MON.			text	請選擇寶可夢。		text	请选择宝可梦。	Choose a #MON.	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	done				done			done			2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
														
_PartyMenuItemUseText::				_PartyMenuItemUseText::										
	text	Use item on which			text	給哪隻寶可夢使用？		text	给哪只宝可梦使用？	Use item on which	Hey! You have Pokémon, right?	嗨！	よーしッ！	よーしッ!
	line	#MON?			done			done		#MON?	Come on!	你有宝可梦的吧？	きみは　ポケモン　もってるな？	きみは　ポケモン　もってるな?
	done													しょうぶ　しようぜ!
											Let’s battle ’em!	我们来对战！	しょうぶ　しようぜ！	
_PartyMenuBattleText::				_PartyMenuBattleText::										
	text	Bring out which			text	要派出哪隻寶可夢？		text	使用哪只宝可梦？	Bring out which	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	#MON?			done			done		#MON?	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done													
														
_PartyMenuUseTMText::				_PartyMenuUseTMText::										
	text	Teach to which			text	要教哪隻寶可夢？		text	如果要让	You need to use	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	#MON?						line	自己的宝可梦变强，	TMs to teach good	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done				done			cont	果然还是要用招式学习器	moves to #MON!				
								cont	让它学习厉害的招式					
_PartyMenuSwapMonText::				_PartyMenuSwapMonText::				cont	才行啊！					
	text	Move #MON			text	移動到哪裡？		text	移动到哪里？	Move #MON	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	where?			done			done		where?	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done													
														
_PotionText::				_PotionText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text_start				text_start			text_start			Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	recovered by @			line	恢復了@		line	回复了@	recovered by @				…　シルフ　カンパニー
	text_decimal	wHPBarHPDifference, 2, 3 			text_decimal	wHPBarHPDifference, 2, 3		text_decimal	wHPBarHPDifference, 2, 3	wHPBarHPDifference, 2, 3 		……西尔佛公司	……シルフカンパニー	
	text	!			text	體力！		text	体力！	!				
	done				done			done						
														
_AntidoteText::				_AntidoteText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 was			text	的毒		text	的毒	 was	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	cured of poison!			line	治好了！		line	消失得干干净净！	cured of poison!				…　シルフ　カンパニー
	done				done			done				……西尔佛公司	……シルフカンパニー	
														
_ParlyzHealText::				_ParlyzHealText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	's			text_start			text_start		's	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	rid of paralysis!			line	麻痺治好了！		line	身上的麻痹状态消除了！	rid of paralysis!				…　シルフ　カンパニー
	done				done			done				……西尔佛公司	……シルフカンパニー	
														
_BurnHealText::				_BurnHealText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	's			text	的		text	的	's	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	burn was healed!			line	灼傷治好了！		line	灼伤治愈了！	burn was healed!				…　シルフ　カンパニー
	done				done			done				……西尔佛公司	……シルフカンパニー	
														
_IceHealText::				_IceHealText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text	 was			text_start			text_start		 was	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	line	defrosted!			line	身上的冰融化了！		line	身上的冰融化了！	defrosted!				
	done				done			done						
														
_AwakeningText::				_AwakeningText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	text_start				text_start			text_start			2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	line	woke up!			line	醒過來了！		line	醒过来了！	woke up!				
	done				done			done						
														
_FullHealText::				_FullHealText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	Well, I guess that’s that...	……好了好了！	……さてと！　じゃあ	ゲームの　プログラムだ!
	text	's			text_start			text_start		's		那这个就先给你了。	これ　あげとくな	これ　かえたら　バグる　かも
	line	health returned!			line	恢復健康了！		line	变得健康了！	health returned!	Here, take these. I won’t need ’em now!			
	done				done			done						
														
_ReviveText::				_ReviveText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	This Pokémon Gym is always closed...	不管什么时候来，	いつ　きても	いつ　きても
	text_start				text_start			text_start				这里的道馆总是关着门……	この　ポケモンジムは　しまっとる	この　ポケモン　ジムは　しまっとる
	line	is revitalized!			line	恢復了活力！		line	恢复了活力！	is revitalized!	I wonder who the Gym Leader is...			いったい　どんな　ヤツが
	done				done			done				不知道这里的馆主	いったい　どんな　ヤツが	りーダーを　しとるんじゃろか?
												究竟是怎样的家伙啊？	リーダーを　しとるんじゃろか？	
_RareCandyText::				_RareCandyText::										
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d	“1F: Service Counter	１楼……　服务柜台	１かい……　サービス・カウンター	おくじょう　…　いこいの　ひろば
	text	 grew			text_start			text_start		 grew		２楼……　训练家广场	２かい……　トレーナーズ・マーケット	　　　　　　…　じどう　はんばいき
	line	to level @			line	升到了@		line	提高到等级@	to level @	“2F: Trainers’ Market			プ
	text_decimal	wCurEnemyLVL, 1, 3 			text_decimal	wCurEnemyLVL, 1, 3		text_decimal	wCurEnemyLVL, 1, 3	wCurEnemyLVL, 1, 3 		３楼……　电子游戏专卖店	３かい……　テレビ　ゲーム　ショップ	
	text	!@			text	級！@		text	了！@	!@	“3F: Video Game Shop	４楼……　聪明人礼品店	４かい……　ワイズマン・ギフト	
	text_end				text_end			text_end						
											“4F: Wiseman Gifts	５楼……　饰品天地	５かい……　アクセサリー　マーケット	
_TurnedOnPC1Text::				_TurnedOnPC1Text::								顶楼……　自动贩卖机	おくじょう……　じどう　はんばいき	
	text	<PLAYER> turned on			text	<PLAYER>		text	<PLAYER>	<PLAYER> turned on	Hey! You have Pokémon, right?	嗨！	よーしッ！	よーしッ!
	line	the PC.			line	打開了電腦！		line	打开了电脑开关！	the PC.	Come on!	你有宝可梦的吧？	きみは　ポケモン　もってるな？	きみは　ポケモン　もってるな?
	prompt				prompt			prompt						しょうぶ　しようぜ!
											Let’s battle ’em!	我们来对战！	しょうぶ　しようぜ！	
_AccessedBillsPCText::				_AccessedBillsPCText::										
	text	Accessed BILL's			text	連上了正輝的電腦！		text	连接到了正辉的电脑！	Accessed BILL's	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	PC.			para	啟動了		para	呼叫了	PC.	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
					line	寶可夢寄放系統！		line	宝可梦的寄放系统！	Accessed #MON				…　シルフ　カンパニー
	para	Accessed #MON			prompt			prompt		Storage System.		……西尔佛公司	……シルフカンパニー	
	line	Storage System.												
	prompt													
														
_AccessedSomeonesPCText::				_AccessedSomeonesPCText::										
	text	Accessed someone's			text	連上了某人的電腦！		text	连接到了某人的电脑！	Accessed someone's	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	line	PC.			para	啟動了		para	呼叫了	PC.	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
					line	寶可夢寄放系統！		line	宝可梦的寄放系统！	Accessed #MON				…　シルフ　カンパニー
	para	Accessed #MON			prompt			prompt		Storage System.		……西尔佛公司	……シルフカンパニー	
	line	Storage System.												
	prompt													
														
_AccessedMyPCText::				_AccessedMyPCText::										
	text	Accessed my PC.			text	連上了自己的電腦！		text	连接到了自己的电脑！	Accessed my PC.	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
					para	啟動了		para	呼叫了	Accessed Item	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	para	Accessed Item			line	道具寄放系統！		line	道具寄放系统！	Storage System.				…　シルフ　カンパニー
	line	Storage System.			prompt			prompt				……西尔佛公司	……シルフカンパニー	
	prompt													
														
_TurnedOnPC2Text::				_TurnedOnPC2Text::										
	text	<PLAYER> turned on			text	<PLAYER>		text	<PLAYER>	<PLAYER> turned on	Hey! You have Pokémon, right?	嗨！	よーしッ！	よーしッ!
	line	the PC.			line	打開了電腦！		line	打开了电脑开关！	the PC.	Come on!	你有宝可梦的吧？	きみは　ポケモン　もってるな？	きみは　ポケモン　もってるな?
	prompt				prompt			prompt						しょうぶ　しようぜ!
											Let’s battle ’em!	我们来对战！	しょうぶ　しようぜ！	
_WhatDoYouWantText::				_WhatDoYouWantText::										
	text	What do you want			text	要做什麼呢？		text	要做什么呢？	What do you want	Which one of its stats do you want to do some	要训练哪项能力？	どの　のうりょくを	もお…!
	line	to do?			done			done		to do?	Hyper Training on?		とっくん　するんじゃ？	とっくん　したのに
	done													
														
_WhatToDepositText::				_WhatToDepositText::										
	text	What do you want			text	要寄放什麼呢？		text	要寄放什么呢？	What do you want	What do you want to know about	你想了解大师训练家的	マスタートレーナーズに　ついて	つの　ひみつ
	line	to deposit?			done			done		to deposit?	the Master Trainers?	哪一个方面呢？	どんなことが　しりたい？	どれに　ついて　はなし　ましょう?
	done													
														
_DepositHowManyText::				_DepositHowManyText::										
	text	How many?			text	要寄放多少個？		text	要丢弃多少个？	How many?	How many Pokémon are there in the world?	不知道世界上	せかい　には　どれくらい	たいせんあいての　ポケモンが
	done				done			done				究竟有多少宝可梦呢？	ポケモンが　いるのかな？	ルールいはんの　ようです
														ョゥらめ
_ItemWasStoredText::				_ItemWasStoredText::										
	text_ram	wcd6d			text	已將@		text	已将@	wcd6d	Make the Invisible Plain to See!	能看到肉眼看不见的宝可梦？	みえない　ポケモンも　よくみえる？	みえない　ポケモンも　よくみえる?
	text	 was			text_ram	wcd6d		text_ram	wcd6d	 was	Get the new Silph Scope!     — Silph Co.	新产品！西尔佛检视镜！	しんせいひん！　シルフスコープ！	しん　せいひん!　シルフスコープ!
	line	stored via PC.			text_start			text_start		stored via PC.				…　シルフ　カンパニー
	prompt				line	寄放到電腦中。		line	寄放到电脑中。			……西尔佛公司	……シルフカンパニー	
					prompt			prompt						
_NothingToDepositText::				_NothingToDepositText::										
	text	You have nothing			text	沒有可以寄放的道具！		text	没有可以寄放的道具！	You have nothing	Hey! You have Pokémon, right?	嗨！	よーしッ！	よーしッ!
	line	to deposit.			prompt			prompt		to deposit.	Come on!	你有宝可梦的吧？	きみは　ポケモン　もってるな？	きみは　ポケモン　もってるな?
	prompt													しょうぶ　しようぜ!
											Let’s battle ’em!	我们来对战！	しょうぶ　しようぜ！	
_NoRoomToStoreText::				_NoRoomToStoreText::										
	text	No room left to			text	電腦裡已經		text	道具太多，	No room left to	Oh, no need to pay!	啊，钱就不用给了！	あ　おだいは　けっこうですよ！	あ!　やせいの
	line	store items.			line	放不下道具了！		line	已经寄放不下了！	store items.	We hope you continue your support of your			@
	prompt				prompt			prompt				今后也请您	これからも	
											neighborhood Poké Mart!	多多光顾友好商店～	フレンドリィショップを　ごひいきにー	
_WhatToWithdrawText::				_WhatToWithdrawText::										
	text	What do you want			text	要取出什麼呢？		text	要取出什么呢？	What do you want	What do you want to know about	你想了解大师训练家的	マスタートレーナーズに　ついて	つの　ひみつ
	line	to withdraw?			done			done		to withdraw?	the Master Trainers?	哪一个方面呢？	どんなことが　しりたい？	どれに　ついて　はなし　ましょう?
	done													
														
_WithdrawHowManyText::				_WithdrawHowManyText::										
	text	How many?			text	要取出多少個？		text	要丢弃多少个？	How many?	How many Pokémon are there in the world?	不知道世界上	せかい　には　どれくらい	たいせんあいての　ポケモンが
	done				done			done				究竟有多少宝可梦呢？	ポケモンが　いるのかな？	ルールいはんの　ようです
														ョゥらめ
_WithdrewItemText::				_WithdrewItemText::										
	text	Withdrew			text	從電腦裡取出了		text	从电脑里取出了	Withdrew	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	@			line	@		line	@	@	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	text_ram	wcd6d			text_ram	wcd6d		text_ram	wcd6d	wcd6d				
	text	.			text	。		text	。	.				
	prompt				prompt			prompt						
														
_NothingStoredText::				_NothingStoredText::										
	text	There is nothing			text	電腦裡		text	电脑里	There is nothing	There is nothing you can chop with	这里没有可以用	ケサギリで	いあいぎりで
	line	stored.			line	沒有寄放任何東西！		line	没有寄放任何东西！	stored.	Chop Down here!	“袈裟斩”砍断的东西！	きれそうな　ものが　ありません！	きれそうな　ものが　ありません!
	prompt				prompt			prompt						ゥ
														
_CantCarryMoreText::				_CantCarryMoreText::										
	text	You can't carry			text	道具已經		text	您已经拿不下了呢！	You can't carry	You can’t carry any more Pewter Crunchies!	装不下更多的深灰米果了！？	もう　ニビあられ　もてないよ！？	おきゃくさん　もう　もてないよ@ゼ@
	line	any more items.			line	放不下了！		prompt		any more items.	Why do you have so many?	你怎么带了这么多！？	なんで　そんなに　もってるの！？	
	prompt				prompt									
											...Please eat them!	……吃完再来买呗！？	……ちゃんと　たべて！？	
_WhatToTossText::				_WhatToTossText::										
	text	What do you want			text	要丟棄什麼呢？		text	要丢弃什么呢？	What do you want	What do you want to know about	你想了解大师训练家的	マスタートレーナーズに　ついて	つの　ひみつ
	line	to toss away?			done			done		to toss away?	the Master Trainers?	哪一个方面呢？	どんなことが　しりたい？	どれに　ついて　はなし　ましょう?
	done													
														
_TossHowManyText::				_TossHowManyText::										
	text	How many?			text	要丟棄多少個？		text	要丢弃多少个？	How many?	How many Pokémon are there in the world?	不知道世界上	せかい　には　どれくらい	たいせんあいての　ポケモンが
	done				done			done				究竟有多少宝可梦呢？	ポケモンが　いるのかな？	ルールいはんの　ようです
														ョゥらめ
_AccessedHoFPCText::				_AccessedHoFPCText::										
	text	Accessed #MON			text	連上了		text	连接到了	Accessed #MON	This is the Hall of Fame!	宝可梦训练家们将这样的表彰	ポケモントレーナーは　ここに	ういーっ!　ひっく…　まちやがれ!
	line	LEAGUE's site.			line	寶可夢聯盟網站。		line	宝可梦联盟主页。	LEAGUE's site.		称为“登入名人堂”！	きろく　される　よろこびを	わしの　はなしを　きけ!
					para	啟動了		para	呼叫了	Accessed the HALL	Being honored here is one of the greatest joys			…　こら!
	para	Accessed the HALL			line	名人堂名單系統！		line	名人堂列表管理系统！	OF FAME List.	a Pokémon Trainer may achieve!	这是至高无上的喜悦！	でんどういり　と　よんで　いる！	いくな!　と　いっとろーが!
	line	OF FAME List.			prompt			prompt						4ひよひ
	prompt													
														
_SleepingPikachuText2::				_SleepingPikachuText2::										
	text	There isn't any			text	咦？不在……			あれ?　いない⋯		Whaaat?	真奇怪啊。	おかしいな？	おかしいな?
	line	response...							宝可梦中心里用胖丁催眠皮卡丘之后		There shouldn’t be any children here!	小孩子应该进不来的啊。	こどもが　はいって　これる	こどもが　はいって　これる
	prompt				prompt				在皮卡丘不跟随的情况下存入电脑的提示					わけが　ないんだが
													わけが　ないんだが	
_SwitchOnText::				_SwitchOnText::										
	text	Switch on!			text	打開開關！		text	<PLAYER>乘上了	<PLAYER> got on	Electrode! Use Tackle! Now!	顽皮雷弹！那里要用撞击！	マルマイン！　そこで　たいあたりっ！	マルマイン!　そこで　たいあたりっ!
	prompt				prompt			line	@	@		给你跪了……又失败！	……がっくし　また　ダメ！	…　がっくし　また　ダメ!
								text_ram	wcd6d	wcd6d	D’aww... Failed again?			
_WhatText::				_WhatText::				text	！	!				
	text	What?			text	要做什麼？		text	啊，嗨呀！	What!?	What?	……哎呀？	……　おや？	…　おや!?
	done				done			para	我有点大意了	I was just	[VAR PKNICK(0001)] is evolving?!	[VAR PKNICK(0001)]的样子……	[VAR PKNICK(0001)]の　ようすが……	@
								line	才被你钻到空子……可恶！	careless!				
_DepositWhichMonText::				_DepositWhichMonText::				prompt			Nope!	并没有发生变化！	かわらなかった！	
	text	Deposit which			text	要寄放哪隻		text	要寄放哪只	Deposit which	“‘Loads and loads of TMs!’	招式学习器应有尽有！	べんり　が　いっぱい！	が
	line	#MON?			line	寶可夢？		line	宝可梦？	#MON?	2F: Trainers’ Market”	２楼……　训练家广场	２かい……　トレーナーズ・マーケット	しょうぶを　しかけてきた!
	done				done			done						
														
_MonWasStoredText::				_MonWasStoredText::										
