	"""PSYCHIC"""	精神強念	
	"""HYPNOSIS"""	催眠術	
	"""MEDITATE"""	瑜伽姿勢	
	"""AGILITY"""	高速移動	
	"""QUICK ATTACK"""	電光一閃	
	"""RAGE"""	憤怒	
	"""TELEPORT"""	瞬間移動	
	"""NIGHT SHADE"""	黑夜魔影	
	"""MIMIC"""	模仿	
	"""SCREECH"""	刺耳聲	
	"""DOUBLE TEAM"""	影子分身	
	"""RECOVER"""	自我再生	
	"""HARDEN"""	變硬	
	"""MINIMIZE"""	變小	
	"""SMOKESCREEN"""	煙幕	
	"""CONFUSE RAY"""	奇異之光	
	"""WITHDRAW"""	縮入殼中	
	"""DEFENSE CURL"""	變圓	
	"""BARRIER"""	屏障	
	"""LIGHT SCREEN"""	光牆	
	"""HAZE"""	黑霧	
	"""REFLECT"""	反射壁	
	"""FOCUS ENERGY"""	聚氣	
	"""BIDE"""	忍耐	
	"""METRONOME"""	揮指	
	"""MIRROR MOVE"""	鸚鵡學舌	
	"""SELFDESTRUCT"""	自爆	
	"""EGG BOMB"""	炸蛋	
	"""LICK"""	舌舔	
	"""SMOG"""	濁霧	
	"""SLUDGE"""	汙泥攻擊	
	"""BONE CLUB"""	骨棒	
	"""FIRE BLAST"""	大字爆炎	
	"""WATERFALL"""	攀瀑	
	"""CLAMP"""	貝殼夾擊	
	"""SWIFT"""	高速星星	
	"""SKULL BASH"""	火箭頭錘	
	"""SPIKE CANNON"""	尖刺加農炮	
	"""CONSTRICT"""	纏繞	
	"""AMNESIA"""	瞬間失憶	
	"""KINESIS"""	折彎湯匙	
	"""SOFTBOILED"""	生蛋	
	"""HI JUMP KICK"""	飛膝踢	
	"""GLARE"""	大蛇瞪眼	
	"""DREAM EATER"""	食夢	
	"""POISON GAS"""	毒瓦斯	
	"""BARRAGE"""	投球	
	"""LEECH LIFE"""	吸血	
	"""LOVELY KISS"""	惡魔之吻	
	"""SKY ATTACK"""	神鳥猛擊	
	"""TRANSFORM"""	變身	
	"""BUBBLE"""	泡沫	
	"""DIZZY PUNCH"""	迷昏拳	
	"""SPORE"""	蘑菇孢子	
	"""FLASH"""	閃光	
	"""PSYWAVE"""	精神波	
	"""SPLASH"""	躍起	
	"""ACID ARMOR"""	溶化	
	"""CRABHAMMER"""	蟹鉗錘	
	"""EXPLOSION"""	大爆炸	
	"""FURY SWIPES"""	亂抓	
	"""BONEMERANG"""	骨頭回力鏢	
	"""REST"""	睡覺	
	"""ROCK SLIDE"""	岩崩	
	"""HYPER FANG"""	必殺門牙	
	"""SHARPEN"""	稜角化	
	"""CONVERSION"""	紋理	
	"""TRI ATTACK"""	三重攻擊	
	"""SUPER FANG"""	憤怒門牙	
	"""SLASH"""	劈開	
	"""SUBSTITUTE"""	替身	
	"""STRUGGLE"""	掙扎	
	li 		db 
	assert_list_length NUM_ATTACKS		;
	list_start MoveNames		;
end			
