data/trainers/name_pointers.asm	@																
	"""JUGGLER"""	雜耍藝人				JUGGLER		"db ""JUGGLER@"""		"""JUGGLER@"""		"""JUGGLER"""		ジプシージャグラー	ジャグラー	杂耍艺人	杂耍
	"""TAMER"""	馴獸師				TAMER		"db ""TAMER@"""		"""TAMER@"""		"""TAMER"""		もうじゅうつかい		驯兽师	
	"""BIRD KEEPER"""	養鳥人				BIRD KEEPER		"db ""BIRD KEEPER@"""		"""BIRD KEEPER@"""		"""BIRD KEEPER"""		とりつかい		养鸟人	
	"""BLACKBELT"""	空手道王				BLACKBELT		"db ""BLACKBELT@"""		"""BLACKBELT@"""		"""BLACKBELT"""		からておう	からて	空手道王	空手道
	"""RIVAL1"""	勁敵1				RIVAL1		"db ""RIVAL1@"""		"""RIVAL1@"""		"""RIVAL1"""		ライバル1		劲敌1	
	"""PROF.OAK"""	大木老師				PROF.OAK		"db ""PROF.OAK@"""		"""PROF.OAK@"""		"""PROF.OAK"""		オーキドせんせい	オーキド	大木老师	大木
	"""CHIEF"""	經理				CHIEF		"db ""CHIEF@"""		"""CHIEF@"""		"""CHIEF"""		シルフのチーフ	チーフ	经理	
	"""SCIENTIST"""	流浪研究員				SCIENTIST		"db ""SCIENTIST@"""		"""SCIENTIST@"""		"""SCIENTIST"""		はぐれけんきゅういん	けんきゅういん	流浪研究员	研究员
	"""GIOVANNI"""	坂木				GIOVANNI		"db ""GIOVANNI@"""		"""GIOVANNI@"""		"""GIOVANNI"""		サカキ		坂木	
	"""ROCKET"""	火箭隊員				ROCKET		"db ""ROCKET@"""		"""ROCKET@"""		"""ROCKET"""		ロケットだんいん	だんいん	火箭队员	队员
	"""COOLTRAINER♂"""	精英訓練家♂			精英训练家♂	COOLTRAINER♂		"db ""COOLTRAINER♂@"""		"""COOLTRAINER♂@"""		"""COOLTRAINER♂"""		エりートトレーナー	エりート♂	精英训练家♂	精英♂
	"""COOLTRAINER♀"""	精英訓練家♀			精英训练家♀	COOLTRAINER♀		"db ""COOLTRAINER♀@"""		"""COOLTRAINER♀@"""		"""COOLTRAINER♀"""		エりートトレーナー	エりート♀	精英训练家♀	精英♀
	"""BRUNO"""	希巴			希巴	BRUNO		"db ""BRUNO@"""		"""BRUNO@"""		"""BRUNO"""		シバ			
	"""BROCK"""	小剛			小刚	BROCK		"db ""BROCK@"""		"""BROCK@"""		"""BROCK"""		タケシ			
	"""MISTY"""	小霞			小霞	MISTY		"db ""MISTY@"""		"""MISTY@"""		"""MISTY"""		カスミ			
	"""LT.SURGE"""	馬志士			马志士	LT.SURGE		"db ""LT.SURGE@"""		"""LT.SURGE@"""		"""LT.SURGE"""		マチス			
	"""ERIKA"""	莉佳			莉佳	ERIKA		"db ""ERIKA@"""		"""ERIKA@"""		"""ERIKA"""		エりカ			
	"""KOGA"""	阿桔			阿桔	KOGA		"db ""KOGA@"""		"""KOGA@"""		"""KOGA"""		キョウ			
	"""BLAINE"""	夏伯			夏伯	BLAINE		"db ""BLAINE@"""		"""BLAINE@"""		"""BLAINE"""		カツラ			
	"""SABRINA"""	娜姿			娜姿	SABRINA		"db ""SABRINA@"""		"""SABRINA@"""		"""SABRINA"""		ナツメ			
	"""GENTLEMAN"""	紳士			绅士	GENTLEMAN		"db ""GENTLEMAN@"""		"""GENTLEMAN@"""		"""GENTLEMAN"""		ジェントルマン			
	"""RIVAL2"""	勁敵2			劲敌2	RIVAL2		"db ""RIVAL2@"""		"""RIVAL2@"""		"""RIVAL2"""		ライバル2			
	"""RIVAL3"""	勁敵3			劲敌3	RIVAL3		"db ""RIVAL3@"""		"""RIVAL3@"""		"""RIVAL3"""		ライバル3			
	"""LORELEI"""	科拿			科拿	LORELEI		"db ""LORELEI@"""		"""LORELEI@"""		"""LORELEI"""		カンナ			
	"""CHANNELER"""	祈禱師			祈祷师	CHANNELER		"db ""CHANNELER@"""		"""CHANNELER@"""		"""CHANNELER"""		きとうし			
	"""AGATHA"""	菊子			菊子	AGATHA		"db ""AGATHA@"""		"""AGATHA@"""		"""AGATHA"""		キクコ			
	"""LANCE"""	阿渡			阿渡	LANCE		"db ""LANCE@"""		"""LANCE@"""		"""LANCE"""		ワタル			
	li 		db 														
	assert_list_length NUM_TRAINERS		;														
	list_start TrainerNames		;														
end																	
